url,book_id,title,author,good_read_score,good_read_votes,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,book_series,genres,awards,award_count,place
https://www.goodreads.com/book/show/12232938-the-lovely-bones,12232938,The Lovely Bones,Alice Sebold,516666,5580,3.82,41265,2084887,372,2002,FALSE,"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Mystery, Crime, Adult, Adult Fiction, Drama, Thriller","Bram Stoker Award for Best First Novel (2002), Orange Prize Nominee for Fiction Longlist (2003), British Book Award for Best Read of the Year (2004), Book Sense Book of the Year Award for Adult Fiction (2003), California Book Award for First Fiction (Silver) (2002), South Carolina Book Award for Young Adult Book Award (2005), Chicago Tribune Heartland Prize for Fiction (2002), Iowa High School Book Award (2005), Puddly Award for Fiction (2003), Eliot Rosewater Indiana High School Book Award (2005), Lincoln Award Nominee (2005), Missouri Gateway Readers Award (2005)",12,"Philadelphia, Pennsylvania, Pennsylvania, United States of America"
https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,19543,Where the Wild Things Are,Maurice Sendak,510058,5558,4.21,12208,857029,37,1963,FALSE,"Childrens, Childrens, Picture Books, Fiction, Classics, Fantasy, Adventure, Young Adult, Animals, Kids, Folklore, Monsters","Caldecott Medal (1964), Lewis Carroll Shelf Award, Indies Choice Book Award for Picture Book Hall of Fame (2009)",3,
https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,23772,Green Eggs and Ham,Dr. Seuss,506004,5566,4.29,9788,652237,64,1960,FALSE,"Childrens, Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor, Kids, Food and Drink, Food, Young Adult",,0,
https://www.goodreads.com/book/show/1381.The_Odyssey,1381,The Odyssey,Homer,505757,5557,3.78,13118,893557,541,-800,FALSE,"Classics, Fiction, Poetry, Fantasy, Mythology, Fantasy, Academic, School, Literature, Adventure, Academic, Read For School, Historical, Historical Fiction",,0,Ithaca
https://www.goodreads.com/book/show/4214.Life_of_Pi,4214,Life of Pi,Yann Martel,497404,5381,3.92,47991,1391075,460,2001,FALSE,"Fiction, Fantasy, Classics, Adventure, Contemporary, Novels, Literature, Magical Realism, Cultural, India, Philosophy","Booker Prize (2002), Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003), Exclusive Books Boeke Prize (2003), Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction (2001), Lincoln Award Nominee (2005), Deutscher Bücherpreis for Belletristik (2004), CBC Canada Reads Nominee (2003), Luisterboek Award Nominee (2015), QWF (Quebec Writer's Federation) Award for Paragraphe Hugh MacLennan Prize for Fiction (2001), Asian/Pacific American Award for Literature for Adult Fiction (2003)",10,"Pacific Ocean, Pondicherry, Toronto, Ontario, Tomatlan"
https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,1953,A Tale of Two Cities,Charles Dickens,496072,5442,3.85,18394,833343,489,1859,FALSE,"Classics, Fiction, Historical, Historical Fiction, Literature, Historical, Novels, Academic, School, Classics, Classic Literature, Literature, 19th Century, European Literature, British Literature",,0,"Paris, London, England"
https://www.goodreads.com/book/show/43641.Water_for_Elephants,43641,Water for Elephants,Sara Gruen,478072,5149,4.09,59328,1426520,335,2006,FALSE,"Fiction, Historical, Historical Fiction, Romance, Historical, Adult, Adult Fiction, Contemporary, Book Club, Novels, Audiobook","Book Sense Book of the Year Award for Adult Fiction (2007), ALA Alex Award (2007), The Quill Award Nominee for General Fiction (2006), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",4,"United States of America, Joliet, Illinois, Ithaca, New York"
https://www.goodreads.com/book/show/7604.Lolita,7604,Lolita,Vladimir Nabokov,470655,5070,3.89,26250,689746,331,1955,FALSE,"Classics, Fiction, Literature, Novels, Cultural, Russia, Romance, Literature, Russian Literature, Literary Fiction, Literature, 20th Century, Adult",National Book Award Finalist for Fiction (1959),1,United States of America
https://www.goodreads.com/book/show/77203.The_Kite_Runner,77203,The Kite Runner,Khaled Hosseini,455880,4973,4.31,76715,2539312,371,2003,FALSE,"Fiction, Historical, Historical Fiction, Contemporary, Classics, Novels, Historical, Literature, Adult, Adult Fiction, Drama","Borders Original Voices Award for Fiction (2003), Humo's Gouden Bladwijzer (2008), Exclusive Books Boeke Prize (2004), ALA Alex Award (2004), Puddly Award for Fiction (2006), Lincoln Award Nominee (2006), Prix des libraires du Québec for Lauréats hors Québec (2006), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",8,"Kabul, Fremont, California, Afghanistan, Peshawar"
https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,455297,4927,4.08,28451,1173645,275,1969,FALSE,"Classics, Fiction, Science Fiction, War, Historical, Historical Fiction, Literature, Novels, Science Fiction, Time Travel, Literature, American, Fantasy","Hugo Award Nominee for Best SF Novel (1970), Nebula Award Nominee for Best Novel (1969), National Book Award Finalist for Fiction (1970), Chicago Publishers' Award (1970)",4,"Dresden, Tralfamadore, Ilium, Ardennes"
